txn_id,txn_date,txn_amount,merchant_category,fraud_score,fraud_probability,decision_flag,is_fraud
TXN0000057,2025-05-02,138.93,grocery,428,0.015625,APPROVED,0
TXN0000058,2025-04-20,324.53,travel,251,0.003257,APPROVED,0
TXN0000059,2025-03-09,31.71,fashion,639,0.095198,APPROVED,0
TXN0000060,2025-06-01,83.38,electronics,495,0.028087,APPROVED,0
TXN0000061,2025-05-11,40.06,travel,441,0.017541,APPROVED,0
TXN0000062,2025-06-20,76.71,crypto,484,0.025665,APPROVED,0
TXN0000063,2025-03-21,18.07,gaming,713,0.168785,APPROVED,0
TXN0000064,2025-02-11,35.26,fashion,456,0.020094,APPROVED,0
TXN0000065,2025-03-03,53.74,electronics,373,0.009617,APPROVED,0
TXN0000066,2025-05-24,179.22,travel,536,0.04003,APPROVED,0
TXN0000067,2025-01-29,235.04,electronics,488,0.026567,APPROVED,0
TXN0000068,2025-04-19,15.55,travel,668,0.119769,APPROVED,0
TXN0000069,2025-02-11,27.82,electronics,593,0.065073,APPROVED,0
TXN0000070,2025-06-03,135.86,electronics,536,0.040215,APPROVED,0
TXN0000071,2025-06-12,7.45,fashion,246,0.003136,APPROVED,0
TXN0000072,2025-05-05,40.07,electronics,399,0.012096,APPROVED,0
TXN0000073,2025-03-23,59.92,electronics,382,0.010458,APPROVED,0
TXN0000074,2025-04-27,265.79,crypto,584,0.060378,APPROVED,0
TXN0000075,2025-02-26,142.36,travel,143,0.001243,APPROVED,0
TXN0000076,2025-04-26,46.53,travel,547,0.043867,APPROVED,0
TXN0000077,2025-02-09,44.46,electronics,495,0.028123,APPROVED,0
TXN0000078,2025-03-12,50.64,gaming,565,0.051558,APPROVED,0
TXN0000079,2025-06-07,356.34,fashion,497,0.028737,APPROVED,0
TXN0000080,2025-01-19,41.64,grocery,365,0.00902,APPROVED,0
TXN0000081,2025-05-07,47.75,fashion,369,0.009322,APPROVED,0
TXN0000082,2025-02-26,98.28,electronics,312,0.00563,APPROVED,0
TXN0000083,2025-05-06,58.39,travel,498,0.02901,APPROVED,0
TXN0000084,2025-05-05,53.68,grocery,583,0.059613,APPROVED,0
TXN0000085,2025-05-25,19.58,crypto,583,0.059638,APPROVED,0
TXN0000086,2025-04-25,65.85,gaming,692,0.143872,APPROVED,0
TXN0000087,2025-02-13,40.94,fashion,393,0.011535,APPROVED,0
TXN0000088,2025-04-26,240.5,grocery,543,0.04254,APPROVED,0
TXN0000089,2025-05-12,136.78,electronics,509,0.031677,APPROVED,0
TXN0000090,2025-03-24,64.94,gaming,666,0.117299,APPROVED,1
TXN0000091,2025-01-13,139.1,electronics,458,0.02045,APPROVED,0
TXN0000092,2025-06-04,45.89,electronics,517,0.034176,APPROVED,0
TXN0000093,2025-04-30,212.16,fashion,454,0.019755,APPROVED,0
TXN0000094,2025-02-18,66.29,gaming,448,0.018689,APPROVED,0
TXN0000095,2025-02-27,126.69,gaming,700,0.152735,APPROVED,0
TXN0000096,2025-06-09,16.12,grocery,347,0.007656,APPROVED,0
TXN0000097,2025-04-30,97.65,electronics,326,0.006372,APPROVED,0
TXN0000098,2025-05-16,10.41,electronics,329,0.006508,APPROVED,0
TXN0000099,2025-02-10,7.11,gaming,709,0.163182,REVIEW,0
TXN0000100,2025-01-31,47.71,crypto,550,0.045013,APPROVED,0
TXN0000101,2025-03-05,24.78,travel,362,0.008722,APPROVED,0
TXN0000102,2025-05-16,79.87,gaming,733,0.195675,BLOCKED,0
TXN0000103,2025-05-01,787.79,grocery,448,0.018695,APPROVED,0
TXN0000104,2025-02-12,26.71,travel,536,0.040099,APPROVED,0
TXN0000105,2025-06-19,33.57,grocery,200,0.002072,APPROVED,0
TXN0000106,2025-01-24,83.59,electronics,363,0.008824,APPROVED,0
TXN0000107,2025-03-03,114.7,grocery,492,0.027385,APPROVED,0
TXN0000108,2025-04-29,54.92,electronics,379,0.010136,APPROVED,0
TXN0000109,2025-01-31,53.17,fashion,499,0.029223,APPROVED,0
TXN0000110,2025-03-29,144.42,grocery,269,0.003828,APPROVED,0
TXN0000111,2025-01-23,118.14,gaming,675,0.126076,APPROVED,0
TXN0000112,2025-05-19,21.39,gaming,602,0.070222,APPROVED,0
TXN0000113,2025-05-01,61.12,travel,631,0.088562,APPROVED,0
TXN0000114,2025-01-05,69.33,travel,383,0.010572,APPROVED,0
TXN0000115,2025-06-10,20.91,crypto,642,0.097584,APPROVED,0
TXN0000116,2025-06-07,88.75,grocery,338,0.007102,APPROVED,0
TXN0000117,2025-01-04,25.95,electronics,376,0.00989,APPROVED,0
TXN0000118,2025-04-15,194.27,electronics,212,0.002315,APPROVED,0
TXN0000119,2025-03-04,82.44,crypto,657,0.1093,APPROVED,1
TXN0000120,2025-03-21,73.57,grocery,338,0.007098,APPROVED,0
TXN0000121,2025-01-31,34.81,electronics,513,0.032946,APPROVED,0
TXN0000122,2025-02-10,58.53,grocery,614,0.077513,APPROVED,0
TXN0000123,2025-06-21,7.41,grocery,572,0.054327,APPROVED,0
TXN0000124,2025-02-19,19.21,grocery,401,0.012337,APPROVED,0
TXN0000125,2025-01-24,99.4,crypto,686,0.13789,APPROVED,0
TXN0000126,2025-05-23,6.41,crypto,561,0.049589,APPROVED,0
TXN0000127,2025-01-13,169.23,electronics,697,0.150117,APPROVED,0
TXN0000128,2025-06-26,9.77,electronics,592,0.064574,APPROVED,0
TXN0000129,2025-05-19,153.3,grocery,506,0.031076,APPROVED,0
TXN0000130,2025-01-02,26.31,gaming,689,0.141156,APPROVED,0
TXN0000131,2025-06-29,157.1,fashion,303,0.005197,APPROVED,0
TXN0000132,2025-04-04,77.02,fashion,406,0.012909,APPROVED,0
TXN0000133,2025-05-20,12.3,grocery,294,0.004796,APPROVED,0
TXN0000134,2025-04-18,263.5,travel,484,0.025579,APPROVED,0
TXN0000135,2025-01-21,325.67,gaming,690,0.142211,APPROVED,0
TXN0000136,2025-04-22,62.03,electronics,293,0.004751,APPROVED,0
TXN0000137,2025-03-15,49.34,fashion,484,0.025486,APPROVED,0
TXN0000138,2025-05-15,55.93,electronics,635,0.092054,APPROVED,0
TXN0000139,2025-04-04,22.81,grocery,403,0.012524,APPROVED,0
TXN0000140,2025-04-11,223.28,crypto,363,0.008809,APPROVED,1
TXN0000141,2025-06-11,36.7,grocery,439,0.017195,APPROVED,0
TXN0000142,2025-03-06,63.04,electronics,456,0.02004,APPROVED,0
TXN0000143,2025-05-16,27.87,grocery,369,0.009284,APPROVED,0
TXN0000144,2025-01-31,33.49,fashion,522,0.03546,APPROVED,0
TXN0000145,2025-01-11,16.35,electronics,435,0.016712,APPROVED,0
TXN0000146,2025-04-29,265.81,travel,367,0.009129,APPROVED,0
TXN0000147,2025-03-23,56.29,electronics,414,0.013868,APPROVED,0
TXN0000148,2025-04-11,192.97,grocery,543,0.042752,APPROVED,0
TXN0000149,2025-05-21,67.67,grocery,316,0.005823,APPROVED,0
TXN0000150,2025-04-30,31.07,grocery,504,0.030551,APPROVED,0
TXN0000151,2025-04-08,46.56,travel,418,0.014393,APPROVED,0
TXN0000152,2025-06-11,36.01,fashion,620,0.081486,APPROVED,0
TXN0000153,2025-05-01,67.27,electronics,354,0.008136,APPROVED,0
TXN0000154,2025-06-26,44.13,crypto,553,0.046365,APPROVED,0
TXN0000155,2025-06-24,47.95,crypto,789,0.285287,BLOCKED,1
TXN0000156,2025-06-14,14.64,grocery,411,0.013502,APPROVED,0
TXN0000157,2025-06-26,27.45,grocery,396,0.011844,APPROVED,0
TXN0000158,2025-01-29,411.36,gaming,691,0.142905,APPROVED,0
TXN0000159,2025-05-31,31.87,travel,386,0.010828,APPROVED,0
TXN0000160,2025-06-20,20.92,gaming,721,0.179138,BLOCKED,0
TXN0000161,2025-04-13,96.65,travel,599,0.06853,APPROVED,0
TXN0000162,2025-02-05,313.56,fashion,330,0.006581,APPROVED,0
TXN0000163,2025-02-25,13.47,travel,257,0.00344,APPROVED,0
TXN0000164,2025-05-26,53.02,fashion,465,0.021745,APPROVED,0
TXN0000165,2025-01-29,33.27,crypto,717,0.173404,REVIEW,0
TXN0000166,2025-03-18,9.61,electronics,467,0.022027,APPROVED,0
TXN0000167,2025-01-31,149.67,gaming,611,0.075709,APPROVED,0
TXN0000168,2025-06-29,64.99,grocery,421,0.014766,APPROVED,0
TXN0000169,2025-04-26,72.14,grocery,502,0.02989,APPROVED,0
TXN0000170,2025-01-04,29.15,grocery,201,0.002086,APPROVED,0
TXN0000171,2025-05-20,109.98,electronics,509,0.031877,APPROVED,0
TXN0000172,2025-02-04,36.85,travel,547,0.044016,APPROVED,0
TXN0000173,2025-06-04,56.99,fashion,406,0.012866,APPROVED,0
TXN0000174,2025-04-13,19.71,electronics,741,0.206533,BLOCKED,0
TXN0000175,2025-06-14,17.5,fashion,479,0.024415,REVIEW,0
TXN0000176,2025-01-25,289.77,crypto,515,0.033604,APPROVED,1
TXN0000177,2025-02-21,38.18,crypto,872,0.456045,BLOCKED,0
TXN0000178,2025-02-02,91.91,gaming,659,0.111486,APPROVED,1
TXN0000179,2025-03-02,64.25,gaming,643,0.097815,APPROVED,0
TXN0000180,2025-06-06,41.05,electronics,448,0.018634,REVIEW,0
TXN0000181,2025-02-05,38.14,crypto,546,0.043668,APPROVED,0
TXN0000182,2025-06-05,133.37,travel,568,0.052882,APPROVED,0
TXN0000183,2025-04-08,47.84,gaming,609,0.074189,APPROVED,0
TXN0000184,2025-01-02,56.45,gaming,768,0.248595,BLOCKED,0
TXN0000185,2025-06-20,68.34,fashion,468,0.022191,APPROVED,0
TXN0000186,2025-03-02,243.27,grocery,480,0.024618,APPROVED,0
TXN0000187,2025-05-17,140.97,travel,443,0.017818,APPROVED,0
TXN0000188,2025-03-14,101.58,grocery,446,0.018422,APPROVED,0
TXN0000189,2025-03-20,35.88,travel,300,0.005055,APPROVED,0
TXN0000190,2025-01-17,14.58,electronics,526,0.036882,APPROVED,0
TXN0000191,2025-01-29,189.52,electronics,490,0.026862,APPROVED,0
TXN0000192,2025-04-21,193.08,gaming,747,0.215868,REVIEW,1
TXN0000193,2025-06-01,57.12,crypto,770,0.252791,BLOCKED,0
TXN0000194,2025-03-20,121.03,electronics,438,0.017063,APPROVED,0
TXN0000195,2025-06-11,157.53,electronics,539,0.04111,APPROVED,0
TXN0000196,2025-06-12,166.38,travel,569,0.053046,APPROVED,0
TXN0000197,2025-05-19,183.74,electronics,409,0.013207,APPROVED,0
TXN0000198,2025-05-22,40.4,electronics,536,0.040067,APPROVED,0
TXN0000199,2025-02-22,353.0,grocery,453,0.019451,APPROVED,0
TXN0000200,2025-02-07,16.92,grocery,356,0.008308,APPROVED,0
TXN0000201,2025-03-12,172.07,grocery,553,0.046184,APPROVED,0
TXN0000202,2025-06-15,114.82,travel,312,0.005611,APPROVED,0
TXN0000203,2025-04-16,174.34,fashion,439,0.017282,APPROVED,1
TXN0000204,2025-05-05,526.85,travel,754,0.226372,BLOCKED,0
TXN0000205,2025-06-15,341.34,grocery,384,0.010632,APPROVED,0
TXN0000206,2025-05-28,18.92,grocery,478,0.024382,APPROVED,0
TXN0000207,2025-02-13,10.41,crypto,481,0.025006,APPROVED,0
TXN0000208,2025-05-31,163.79,travel,480,0.024683,APPROVED,0
TXN0000209,2025-03-17,21.83,fashion,415,0.013979,APPROVED,0
TXN0000210,2025-05-17,65.78,travel,447,0.018449,APPROVED,0
TXN0000211,2025-01-11,167.96,gaming,625,0.08487,APPROVED,0
TXN0000212,2025-02-13,10.93,grocery,298,0.004943,APPROVED,0
TXN0000213,2025-01-01,6.55,grocery,436,0.016755,APPROVED,0
TXN0000214,2025-06-28,88.7,gaming,582,0.059256,APPROVED,0
TXN0000215,2025-02-13,70.02,fashion,321,0.006059,APPROVED,0
TXN0000216,2025-05-14,50.89,electronics,569,0.052906,APPROVED,0
TXN0000217,2025-05-26,69.57,electronics,474,0.023405,APPROVED,0
TXN0000218,2025-02-16,25.88,crypto,590,0.063383,APPROVED,0
TXN0000219,2025-05-02,12.62,electronics,609,0.074521,APPROVED,0
TXN0000220,2025-03-27,55.52,travel,492,0.027382,APPROVED,0
TXN0000221,2025-03-27,22.9,crypto,549,0.044829,APPROVED,0
TXN0000222,2025-02-15,10.94,electronics,537,0.040319,APPROVED,0
TXN0000223,2025-03-15,116.31,electronics,560,0.04916,APPROVED,0
TXN0000224,2025-02-08,62.33,travel,450,0.018928,APPROVED,0
TXN0000225,2025-02-17,104.29,electronics,554,0.046937,APPROVED,0
TXN0000226,2025-03-06,22.46,grocery,492,0.027527,APPROVED,0
TXN0000227,2025-05-18,32.33,grocery,374,0.009736,APPROVED,0
TXN0000228,2025-05-08,22.22,travel,436,0.01679,APPROVED,0
TXN0000229,2025-03-29,25.15,electronics,305,0.005257,APPROVED,0
TXN0000230,2025-03-02,82.68,gaming,871,0.45346,BLOCKED,0
TXN0000231,2025-01-13,28.18,gaming,461,0.020851,APPROVED,0
TXN0000232,2025-02-22,98.66,grocery,388,0.01097,APPROVED,0
TXN0000233,2025-04-23,96.91,electronics,495,0.028047,APPROVED,0
TXN0000234,2025-06-07,618.74,grocery,659,0.11096,APPROVED,0
TXN0000235,2025-06-28,14.41,fashion,287,0.004501,APPROVED,0
TXN0000236,2025-05-28,177.1,grocery,539,0.041077,APPROVED,0
TXN0000237,2025-01-14,60.43,gaming,473,0.023187,APPROVED,0
TXN0000238,2025-05-02,65.67,grocery,395,0.011733,APPROVED,0
TXN0000239,2025-06-29,13.53,grocery,531,0.038336,APPROVED,1
TXN0000240,2025-01-19,40.2,electronics,482,0.025067,APPROVED,0
TXN0000241,2025-01-18,151.04,grocery,405,0.012753,APPROVED,0
TXN0000242,2025-06-15,60.9,fashion,566,0.051742,APPROVED,0
TXN0000243,2025-02-25,72.91,fashion,437,0.016933,APPROVED,1
TXN0000244,2025-06-24,48.43,travel,391,0.011354,APPROVED,0
TXN0000245,2025-06-25,237.47,crypto,628,0.087001,APPROVED,0
TXN0000246,2025-03-29,65.13,fashion,339,0.007117,APPROVED,0
TXN0000247,2025-06-24,5.93,grocery,602,0.07028,APPROVED,0
TXN0000248,2025-04-04,31.15,grocery,468,0.022201,APPROVED,0
TXN0000249,2025-02-03,7.65,fashion,462,0.021169,APPROVED,0
TXN0000250,2025-04-18,1.87,electronics,435,0.016639,APPROVED,0
TXN0000251,2025-05-10,37.22,fashion,303,0.005196,APPROVED,0
TXN0000252,2025-04-15,289.14,fashion,651,0.104846,APPROVED,0
TXN0000253,2025-04-21,70.23,grocery,354,0.008176,APPROVED,0
TXN0000254,2025-03-04,18.36,gaming,479,0.024577,APPROVED,0
TXN0000255,2025-03-13,23.69,grocery,351,0.007933,APPROVED,0
TXN0000256,2025-01-12,231.29,grocery,342,0.007308,APPROVED,0
TXN0000257,2025-05-22,79.31,travel,672,0.123143,APPROVED,0
TXN0000258,2025-06-16,70.3,crypto,326,0.006368,APPROVED,0
TXN0000259,2025-04-25,62.88,travel,505,0.030761,APPROVED,0
TXN0000260,2025-03-06,69.56,fashion,615,0.078056,APPROVED,0
TXN0000261,2025-02-10,161.73,grocery,451,0.019207,APPROVED,0
TXN0000262,2025-06-12,122.46,crypto,680,0.130929,APPROVED,0
TXN0000263,2025-03-30,84.54,crypto,630,0.087849,APPROVED,0
TXN0000264,2025-06-08,21.18,electronics,528,0.037302,APPROVED,0
TXN0000265,2025-05-08,117.01,crypto,612,0.076365,APPROVED,0
TXN0000266,2025-02-08,31.42,fashion,350,0.007854,APPROVED,0
TXN0000267,2025-04-22,222.12,electronics,647,0.101586,APPROVED,0
TXN0000268,2025-01-30,16.48,grocery,604,0.071151,APPROVED,0
TXN0000269,2025-04-08,57.32,electronics,531,0.03854,APPROVED,0
TXN0000270,2025-02-12,66.15,grocery,336,0.00695,APPROVED,0
TXN0000271,2025-05-13,15.53,electronics,653,0.105918,APPROVED,0
TXN0000272,2025-04-17,443.27,grocery,500,0.029439,APPROVED,0
TXN0000273,2025-01-25,332.44,travel,607,0.073143,APPROVED,0
TXN0000274,2025-03-15,40.05,fashion,482,0.025047,APPROVED,0
TXN0000275,2025-01-08,155.85,gaming,600,0.068919,APPROVED,0
TXN0000276,2025-06-23,101.14,crypto,652,0.104977,APPROVED,0
TXN0000277,2025-01-06,3.76,travel,558,0.048398,APPROVED,0
TXN0000278,2025-03-26,87.83,grocery,733,0.195368,BLOCKED,0
TXN0000279,2025-04-22,62.33,electronics,268,0.0038,APPROVED,0
TXN0000280,2025-02-16,73.08,grocery,461,0.021021,APPROVED,0
TXN0000281,2025-03-20,20.4,crypto,764,0.242981,BLOCKED,0
TXN0000282,2025-02-26,49.59,electronics,415,0.014007,APPROVED,0
TXN0000283,2025-05-31,54.81,gaming,651,0.104134,APPROVED,0
TXN0000284,2025-05-08,246.39,fashion,449,0.018866,APPROVED,0
TXN0000285,2025-06-24,96.34,travel,359,0.008521,APPROVED,0
TXN0000286,2025-05-31,66.28,fashion,403,0.012603,APPROVED,0
TXN0000287,2025-01-21,358.48,travel,408,0.013176,APPROVED,0
TXN0000288,2025-06-06,36.21,gaming,754,0.226116,BLOCKED,0
TXN0000289,2025-03-10,43.45,electronics,443,0.017826,APPROVED,0
TXN0000290,2025-03-05,9.04,electronics,570,0.053337,APPROVED,0
TXN0000291,2025-03-17,374.66,fashion,325,0.00632,APPROVED,0
TXN0000292,2025-04-06,192.63,grocery,473,0.023277,APPROVED,0
TXN0000293,2025-04-09,182.83,electronics,511,0.032311,APPROVED,0
TXN0000294,2025-01-05,139.18,grocery,728,0.188548,BLOCKED,0
TXN0000295,2025-06-13,75.28,travel,447,0.018527,APPROVED,0
TXN0000296,2025-03-16,84.52,grocery,506,0.030943,APPROVED,0
TXN0000297,2025-04-18,50.54,fashion,539,0.041225,APPROVED,0
TXN0000298,2025-02-16,53.31,gaming,569,0.053303,APPROVED,0
TXN0000299,2025-02-24,70.79,electronics,564,0.0509,APPROVED,0
TXN0000300,2025-04-25,351.78,grocery,501,0.029561,REVIEW,0
TXN0000301,2025-04-30,122.89,crypto,594,0.065259,APPROVED,0
TXN0000302,2025-03-27,62.53,grocery,635,0.091987,APPROVED,0
TXN0000303,2025-03-01,35.26,fashion,506,0.030894,APPROVED,0
TXN0000304,2025-01-05,33.17,electronics,395,0.011768,APPROVED,0
TXN0000305,2025-04-10,388.77,gaming,597,0.066997,REVIEW,0
TXN0000306,2025-01-13,116.44,grocery,632,0.089344,APPROVED,0
TXN0000307,2025-01-18,71.83,gaming,626,0.085372,APPROVED,0
TXN0000308,2025-02-17,45.57,gaming,560,0.049337,APPROVED,0
TXN0000309,2025-04-12,19.69,gaming,559,0.048626,APPROVED,0
TXN0000310,2025-01-05,61.96,electronics,458,0.020421,APPROVED,0
TXN0000311,2025-03-28,174.34,fashion,604,0.071013,APPROVED,0
TXN0000312,2025-04-05,43.3,electronics,520,0.035052,APPROVED,0
TXN0000313,2025-04-27,51.94,travel,347,0.007687,APPROVED,0
TXN0000314,2025-06-15,52.29,travel,554,0.046664,APPROVED,0
TXN0000315,2025-04-13,75.23,grocery,420,0.014637,APPROVED,0
TXN0000316,2025-02-16,11.56,fashion,589,0.062585,APPROVED,0
TXN0000317,2025-04-14,51.47,crypto,660,0.112336,APPROVED,0
TXN0000318,2025-06-13,26.05,electronics,383,0.010528,APPROVED,0
TXN0000319,2025-05-13,176.45,electronics,396,0.011862,APPROVED,0
TXN0000320,2025-02-24,28.57,grocery,308,0.005419,APPROVED,0
TXN0000321,2025-01-25,125.81,gaming,463,0.021283,APPROVED,0
TXN0000322,2025-03-28,356.7,grocery,275,0.004051,APPROVED,0
TXN0000323,2025-05-16,47.23,grocery,502,0.030035,APPROVED,0
TXN0000324,2025-04-18,34.41,fashion,428,0.015699,APPROVED,0
TXN0000325,2025-04-23,82.32,fashion,541,0.041842,APPROVED,0
TXN0000326,2025-02-11,66.54,travel,452,0.019347,APPROVED,0
TXN0000327,2025-05-04,22.35,electronics,567,0.052181,APPROVED,0
TXN0000328,2025-04-24,110.72,grocery,604,0.071424,APPROVED,0
TXN0000329,2025-03-13,612.21,gaming,629,0.087518,APPROVED,0
TXN0000330,2025-05-09,50.2,grocery,518,0.034299,APPROVED,0
TXN0000331,2025-01-16,53.35,electronics,668,0.119116,APPROVED,0
TXN0000332,2025-01-28,21.13,grocery,403,0.012623,APPROVED,0
TXN0000333,2025-06-15,94.73,grocery,462,0.021137,APPROVED,0
TXN0000334,2025-03-27,16.92,grocery,495,0.028214,APPROVED,0
TXN0000335,2025-05-29,19.73,grocery,463,0.021309,APPROVED,0
TXN0000336,2025-04-21,272.5,crypto,810,0.325474,BLOCKED,0
TXN0000337,2025-06-25,24.63,travel,619,0.080418,APPROVED,0
TXN0000338,2025-05-04,219.09,grocery,604,0.071102,APPROVED,0
TXN0000339,2025-03-24,356.66,fashion,376,0.009865,APPROVED,0
TXN0000340,2025-06-22,88.7,gaming,467,0.022087,APPROVED,0
TXN0000341,2025-06-09,122.58,fashion,379,0.010214,APPROVED,0
TXN0000342,2025-06-12,571.05,grocery,585,0.060984,APPROVED,0
TXN0000343,2025-06-06,53.71,gaming,394,0.011579,APPROVED,0
TXN0000344,2025-03-03,34.73,grocery,488,0.026565,APPROVED,0
TXN0000345,2025-04-09,15.05,crypto,737,0.201578,BLOCKED,0
TXN0000346,2025-06-22,69.82,travel,501,0.029567,APPROVED,0
TXN0000347,2025-06-12,339.36,electronics,355,0.008231,APPROVED,0
TXN0000348,2025-03-30,191.63,gaming,503,0.030249,REVIEW,0
TXN0000349,2025-05-27,23.66,travel,426,0.01536,APPROVED,0
TXN0000350,2025-05-01,26.03,gaming,487,0.026305,APPROVED,0
TXN0000351,2025-01-19,38.3,fashion,431,0.016111,APPROVED,0
TXN0000352,2025-04-23,91.97,grocery,616,0.078681,APPROVED,0
TXN0000353,2025-01-25,53.21,electronics,419,0.014421,APPROVED,0
TXN0000354,2025-06-13,84.43,gaming,626,0.085124,APPROVED,0
TXN0000355,2025-03-15,92.43,electronics,397,0.01193,APPROVED,0
TXN0000356,2025-01-29,48.01,crypto,549,0.044905,APPROVED,0
TXN0000357,2025-04-06,63.8,gaming,729,0.190152,BLOCKED,0
TXN0000358,2025-01-17,83.7,travel,354,0.008119,APPROVED,0
TXN0000359,2025-04-28,60.8,electronics,367,0.009157,APPROVED,0
TXN0000360,2025-05-30,116.03,gaming,613,0.076532,APPROVED,0
TXN0000361,2025-04-12,522.15,grocery,631,0.088759,APPROVED,0
TXN0000362,2025-02-28,127.89,electronics,491,0.027159,APPROVED,0
TXN0000363,2025-06-07,70.91,grocery,315,0.00576,APPROVED,0
TXN0000364,2025-01-10,10.44,travel,298,0.004941,APPROVED,0
TXN0000365,2025-05-25,102.18,grocery,379,0.010174,APPROVED,0
TXN0000366,2025-05-11,7.84,fashion,570,0.053574,APPROVED,0
TXN0000367,2025-01-19,14.15,crypto,654,0.10705,APPROVED,1
TXN0000368,2025-06-28,170.73,gaming,708,0.163055,APPROVED,0
TXN0000369,2025-03-03,145.02,electronics,372,0.009575,APPROVED,0
TXN0000370,2025-06-22,56.55,grocery,241,0.002998,APPROVED,0
TXN0000371,2025-06-09,10.17,grocery,520,0.034928,APPROVED,0
TXN0000372,2025-01-30,44.32,crypto,645,0.099182,APPROVED,1
TXN0000373,2025-05-16,31.61,electronics,378,0.010117,APPROVED,0
TXN0000374,2025-04-13,134.36,grocery,560,0.049115,APPROVED,0
TXN0000375,2025-01-03,799.11,crypto,787,0.282596,BLOCKED,0
TXN0000376,2025-03-09,84.66,grocery,403,0.012604,APPROVED,0
