application_id,application_time,credit_score,annual_income,debt_to_income,employment_length,loan_amount,loan_purpose,home_ownership,number_of_delinquent_accounts,delinquent_months,months_since_last_delinquent,revolving_utilization,inquiries_last_6m,model_score,probability_of_default,risk_rating,application_status,actual_default,past_due_days,score_band,income_band
CD000033,2025-02-25 06:48:27,626,100667,27.42,1,38849,debt_consolidation,OTHER,1,5,3,68.12,1,557,0.396662,HIGH,APPROVED,0,0,<600,100K+
CD000034,2025-01-04 21:16:00,652,59304,17.35,3,31686,credit_card,MORTGAGE,0,0,0,67.73,3,586,0.204496,HIGH,APPROVED,1,60,<600,50-75K
CD000035,2025-06-09 06:34:24,729,29674,30.45,4,9363,debt_consolidation,RENT,1,4,14,42.04,0,683,0.024331,LOW,APPROVED,0,0,600-700,<50K
CD000036,2025-04-02 02:55:34,720,38264,26.39,9,47479,credit_card,RENT,0,0,0,23.34,2,653,0.047364,MEDIUM,APPROVED,0,30,600-700,<50K
CD000037,2025-06-07 02:12:53,656,92341,26.55,12,24130,home_improvement,MORTGAGE,3,3,26,51.41,1,550,0.466174,VERY_HIGH,APPROVED,0,0,<600,75-100K
CD000038,2025-03-29 16:56:24,602,57737,42.58,7,7092,credit_card,MORTGAGE,0,0,0,17.45,1,622,0.126383,HIGH,APPROVED,1,90,600-700,50-75K
CD000039,2025-06-23 12:26:46,708,51094,7.73,21,19227,debt_consolidation,MORTGAGE,1,5,54,83.06,1,715,0.010028,LOW,APPROVED,1,60,700-800,50-75K
CD000040,2025-01-06 00:02:30,591,73229,36.04,6,49980,debt_consolidation,MORTGAGE,1,2,30,80.69,0,580,0.329108,HIGH,APPROVED,0,0,<600,50-75K
CD000041,2025-01-10 08:44:23,642,46120,29.37,5,22855,home_improvement,MORTGAGE,2,4,59,60.35,1,503,0.675799,VERY_HIGH,DECLINED,0,0,<600,<50K
CD000042,2025-04-29 02:17:27,630,47649,40.78,1,22972,major_purchase,MORTGAGE,0,0,0,43.77,0,583,0.254161,HIGH,DECLINED,1,90,<600,<50K
CD000043,2025-05-16 05:15:12,712,102588,18.96,0,11385,credit_card,MORTGAGE,0,0,0,74.45,1,703,0.015121,LOW,APPROVED,0,0,700-800,100K+
CD000044,2025-06-13 00:54:45,684,75474,15.86,4,26511,other,MORTGAGE,0,0,0,63.47,0,689,0.012762,LOW,APPROVED,0,0,600-700,75-100K
CD000045,2025-01-17 09:20:45,696,84201,21.47,1,6558,home_improvement,RENT,2,4,6,30.3,1,684,0.027533,LOW,APPROVED,0,0,600-700,75-100K
CD000046,2025-01-22 19:03:55,686,78127,20.87,2,6965,major_purchase,RENT,1,5,37,100.0,2,594,0.235631,HIGH,DECLINED,0,0,<600,75-100K
CD000047,2025-05-11 07:16:37,633,95738,35.01,9,11204,home_improvement,MORTGAGE,1,5,26,0.0,4,574,0.406189,HIGH,DECLINED,1,120,<600,75-100K
CD000048,2025-02-09 13:42:53,700,87051,22.6,8,14934,home_improvement,MORTGAGE,0,0,0,58.81,1,760,0.003237,LOW,APPROVED,0,0,700-800,75-100K
CD000049,2025-01-28 15:07:15,748,42104,27.17,1,7099,major_purchase,RENT,2,5,8,59.33,2,701,0.017829,LOW,APPROVED,0,0,700-800,<50K
CD000050,2025-02-22 16:19:10,669,55098,27.1,7,39662,home_improvement,MORTGAGE,0,0,0,70.5,3,618,0.137321,HIGH,APPROVED,0,0,600-700,50-75K
CD000051,2025-02-13 23:32:31,706,125258,27.95,5,12509,debt_consolidation,MORTGAGE,2,5,24,83.24,2,606,0.109025,HIGH,DECLINED,0,0,600-700,100K+
CD000052,2025-02-12 12:46:51,664,65052,27.04,12,25191,debt_consolidation,MORTGAGE,1,4,35,91.05,1,610,0.153468,HIGH,APPROVED,0,0,600-700,50-75K
CD000053,2025-06-13 05:32:54,727,130157,22.0,1,12318,debt_consolidation,OWN,1,4,22,62.99,0,675,0.020586,LOW,DECLINED,0,0,600-700,100K+
CD000054,2025-03-01 04:01:22,707,52533,25.85,29,41797,debt_consolidation,MORTGAGE,2,0,29,20.59,3,716,0.011198,LOW,APPROVED,0,0,700-800,50-75K
CD000055,2025-04-30 05:39:16,719,32465,36.41,16,7216,other,RENT,1,3,50,90.87,1,638,0.089468,MEDIUM,APPROVED,1,60,600-700,<50K
CD000056,2025-01-18 16:44:53,690,62682,32.15,6,28847,home_improvement,OWN,1,2,49,51.67,1,581,0.276849,HIGH,DECLINED,0,0,<600,50-75K
CD000057,2025-01-25 00:23:22,761,48148,23.98,6,37049,major_purchase,MORTGAGE,0,0,0,71.29,1,664,0.023079,LOW,APPROVED,0,0,600-700,<50K
CD000058,2025-03-16 11:08:56,651,44307,29.04,7,15059,debt_consolidation,MORTGAGE,0,0,0,55.19,2,664,0.056197,MEDIUM,APPROVED,0,0,600-700,<50K
CD000059,2025-06-28 00:17:38,652,43194,35.25,13,13791,credit_card,MORTGAGE,0,0,0,56.19,1,637,0.081433,MEDIUM,DECLINED,0,0,600-700,<50K
CD000060,2025-05-24 15:28:22,638,24417,9.39,18,32236,debt_consolidation,RENT,0,0,0,13.09,2,703,0.018597,LOW,APPROVED,0,0,700-800,<50K
CD000061,2025-01-05 17:42:51,704,76486,20.77,3,8488,major_purchase,RENT,2,5,43,45.49,1,678,0.023069,LOW,APPROVED,0,0,600-700,75-100K
CD000062,2025-04-13 19:44:14,637,56212,26.85,4,15911,credit_card,OWN,2,7,15,37.07,1,661,0.038092,MEDIUM,APPROVED,0,0,600-700,50-75K
CD000063,2025-02-17 05:48:13,635,39833,24.79,12,18899,debt_consolidation,RENT,1,3,20,88.94,2,560,0.517069,VERY_HIGH,DECLINED,0,0,<600,<50K
CD000064,2025-02-20 17:21:47,711,29177,36.77,4,16067,debt_consolidation,MORTGAGE,1,7,9,74.71,0,614,0.124081,HIGH,DECLINED,0,0,600-700,<50K
CD000065,2025-05-23 00:58:09,735,80382,27.01,14,19707,credit_card,OWN,1,6,1,74.23,1,673,0.028067,LOW,APPROVED,0,0,600-700,75-100K
CD000066,2025-04-05 09:47:13,702,60564,25.59,7,20906,debt_consolidation,MORTGAGE,2,2,42,50.83,0,698,0.014988,LOW,DECLINED,0,0,600-700,50-75K
CD000067,2025-03-30 16:22:50,523,80917,12.03,2,26453,debt_consolidation,MORTGAGE,1,2,43,55.4,3,557,0.467999,VERY_HIGH,DECLINED,1,90,<600,75-100K
CD000068,2025-05-05 05:31:12,618,70825,44.59,3,24135,home_improvement,OWN,2,2,53,49.82,3,539,0.417086,VERY_HIGH,DECLINED,0,0,<600,50-75K
CD000069,2025-06-25 06:38:00,612,83648,33.11,9,19196,debt_consolidation,MORTGAGE,1,4,59,58.98,1,553,0.407533,HIGH,DECLINED,1,120,<600,75-100K
CD000070,2025-01-27 09:30:17,604,58943,13.04,7,12570,debt_consolidation,MORTGAGE,1,3,59,66.87,4,537,0.472197,VERY_HIGH,DECLINED,1,60,<600,50-75K
CD000071,2025-01-18 18:30:58,648,31255,21.42,2,22902,debt_consolidation,RENT,2,4,35,53.02,1,631,0.155511,HIGH,APPROVED,1,120,600-700,<50K
CD000072,2025-05-30 04:53:37,771,64284,17.2,2,28378,debt_consolidation,RENT,1,6,35,33.76,1,850,0.000129,LOW,APPROVED,0,0,800+,50-75K
CD000073,2025-02-11 20:53:38,654,88830,40.61,8,7321,credit_card,RENT,0,0,0,31.54,1,626,0.102313,HIGH,APPROVED,1,120,600-700,75-100K
CD000074,2025-03-14 19:09:54,630,31818,26.64,1,25610,home_improvement,OTHER,1,6,43,63.02,3,565,0.365624,HIGH,DECLINED,1,120,<600,<50K
CD000075,2025-03-20 15:00:53,709,48894,28.1,1,18859,home_improvement,MORTGAGE,1,6,52,46.36,1,682,0.023561,LOW,APPROVED,0,30,600-700,<50K
CD000076,2025-03-01 23:18:39,675,113094,19.04,9,31291,other,RENT,1,6,43,65.29,2,650,0.049992,MEDIUM,DECLINED,1,60,600-700,100K+
CD000077,2025-05-16 07:30:16,677,34392,1.0,18,80332,other,MORTGAGE,0,0,0,38.47,3,613,0.128726,HIGH,DECLINED,0,0,600-700,<50K
CD000078,2025-04-15 04:36:13,633,108010,28.5,1,24792,credit_card,RENT,1,3,32,34.7,3,706,0.021043,LOW,APPROVED,0,60,700-800,100K+
CD000079,2025-05-22 23:40:42,671,39222,21.92,1,10815,debt_consolidation,MORTGAGE,2,1,50,92.04,0,593,0.195117,HIGH,DECLINED,0,0,<600,<50K
CD000080,2025-06-24 07:34:56,695,28628,25.14,14,45090,home_improvement,RENT,0,0,0,67.65,3,706,0.012402,LOW,APPROVED,1,90,700-800,<50K
CD000081,2025-02-06 22:35:17,566,46858,20.95,1,8436,credit_card,RENT,0,0,0,67.6,1,594,0.215819,HIGH,DECLINED,1,90,<600,<50K
CD000082,2025-02-05 01:24:56,582,44730,22.96,0,20277,major_purchase,RENT,0,0,0,66.21,0,647,0.086661,MEDIUM,APPROVED,0,0,600-700,<50K
CD000083,2025-03-05 12:09:23,730,88760,19.1,5,22756,debt_consolidation,OWN,1,3,23,69.88,1,707,0.014786,LOW,APPROVED,0,0,700-800,75-100K
CD000084,2025-04-07 14:01:24,717,23014,26.83,6,9706,debt_consolidation,OTHER,0,0,0,54.98,1,672,0.024418,LOW,DECLINED,0,0,600-700,<50K
CD000085,2025-06-26 22:58:34,643,38138,27.7,1,44026,debt_consolidation,RENT,2,0,57,69.59,2,567,0.345974,HIGH,DECLINED,1,60,<600,<50K
CD000086,2025-04-26 23:06:26,615,38148,36.95,1,9450,credit_card,RENT,1,5,5,66.14,2,552,0.43563,VERY_HIGH,DECLINED,1,150,<600,<50K
CD000087,2025-01-18 09:23:31,661,35700,33.0,4,86825,debt_consolidation,MORTGAGE,0,0,0,65.89,2,633,0.061072,MEDIUM,APPROVED,1,120,600-700,<50K
CD000088,2025-01-26 09:24:50,605,59589,22.93,1,11334,debt_consolidation,MORTGAGE,0,0,0,37.07,1,655,0.040276,MEDIUM,APPROVED,1,90,600-700,50-75K
CD000089,2025-05-17 04:57:12,652,44492,19.39,4,25637,debt_consolidation,MORTGAGE,2,6,16,38.06,2,659,0.048644,MEDIUM,DECLINED,1,90,600-700,<50K
CD000090,2025-03-23 01:36:41,762,56394,48.01,4,14781,debt_consolidation,OTHER,1,2,39,70.96,0,655,0.044249,MEDIUM,APPROVED,0,60,600-700,50-75K
CD000091,2025-02-12 20:33:56,678,50304,25.6,5,8656,other,RENT,1,3,6,58.94,1,644,0.095888,HIGH,APPROVED,0,0,600-700,50-75K
CD000092,2025-03-03 04:23:06,735,90845,43.77,13,12714,major_purchase,MORTGAGE,2,3,43,33.36,0,665,0.041123,MEDIUM,APPROVED,0,0,600-700,75-100K
CD000093,2025-01-16 00:02:53,659,42151,52.25,5,28714,credit_card,MORTGAGE,0,0,0,39.47,1,651,0.048137,MEDIUM,APPROVED,0,0,600-700,<50K
CD000094,2025-06-12 21:30:21,691,56867,30.31,4,9989,other,RENT,2,2,47,100.0,0,572,0.310371,HIGH,DECLINED,0,0,<600,50-75K
CD000095,2025-06-07 17:36:03,747,81827,15.3,27,33764,credit_card,MORTGAGE,1,5,37,25.68,2,745,0.00383,LOW,APPROVED,0,0,700-800,75-100K
CD000096,2025-02-03 00:27:04,597,70618,9.07,12,33474,debt_consolidation,RENT,0,0,0,43.1,2,645,0.053518,MEDIUM,DECLINED,1,120,600-700,50-75K
CD000097,2025-04-18 11:26:54,652,56643,27.75,5,13142,credit_card,MORTGAGE,3,5,3,49.58,4,576,0.331676,HIGH,DECLINED,0,0,<600,50-75K
CD000098,2025-03-17 19:39:41,662,81287,33.18,1,8556,debt_consolidation,RENT,1,7,14,65.76,1,649,0.055959,MEDIUM,APPROVED,0,0,600-700,75-100K
CD000099,2025-02-24 00:31:36,686,68429,13.45,1,23800,major_purchase,RENT,1,5,38,67.36,0,598,0.122248,HIGH,DECLINED,0,0,<600,50-75K
CD000100,2025-02-03 10:35:28,756,69367,12.6,1,15430,home_improvement,RENT,3,6,57,84.93,2,640,0.051255,MEDIUM,APPROVED,0,0,600-700,50-75K
CD000101,2025-01-13 22:50:27,708,59104,25.74,2,67695,debt_consolidation,MORTGAGE,0,0,0,86.77,2,657,0.054184,MEDIUM,DECLINED,0,0,600-700,50-75K
CD000102,2025-03-25 23:08:18,588,88685,20.23,9,24513,debt_consolidation,MORTGAGE,0,0,0,70.85,1,571,0.255298,HIGH,DECLINED,0,0,<600,75-100K
CD000103,2025-03-30 18:58:13,656,92492,32.44,7,16122,debt_consolidation,MORTGAGE,2,2,29,44.77,2,590,0.207913,HIGH,DECLINED,1,90,<600,75-100K
CD000104,2025-05-04 10:19:01,622,44596,22.13,5,12377,debt_consolidation,MORTGAGE,0,0,0,37.36,1,567,0.410165,HIGH,DECLINED,0,0,<600,<50K
CD000105,2025-06-16 07:26:29,620,74402,32.08,12,17713,debt_consolidation,RENT,0,0,0,25.6,2,644,0.06105,MEDIUM,DECLINED,0,30,600-700,50-75K
CD000106,2025-04-19 06:39:32,782,70629,29.18,1,21845,other,RENT,2,2,52,63.95,1,640,0.065745,MEDIUM,APPROVED,0,0,600-700,50-75K
CD000107,2025-03-27 17:48:58,612,79186,33.36,5,12321,other,RENT,0,0,0,52.17,0,636,0.0719,MEDIUM,APPROVED,0,0,600-700,75-100K
CD000108,2025-04-08 15:30:48,684,42723,30.73,8,23079,major_purchase,RENT,1,4,12,43.2,3,607,0.19513,HIGH,DECLINED,1,150,600-700,<50K
CD000109,2025-06-27 10:19:17,631,34713,29.42,8,32204,debt_consolidation,MORTGAGE,1,3,11,47.13,4,496,0.737894,VERY_HIGH,DECLINED,0,0,<600,<50K
CD000110,2025-06-29 05:00:20,718,53905,30.19,6,11510,credit_card,RENT,1,2,40,59.55,0,603,0.128529,HIGH,APPROVED,1,90,600-700,50-75K
CD000111,2025-01-29 12:20:58,690,95820,24.26,10,10381,major_purchase,RENT,0,0,0,100.0,1,667,0.036833,MEDIUM,APPROVED,0,0,600-700,75-100K
CD000112,2025-02-28 07:05:46,678,37876,26.15,15,21713,home_improvement,RENT,0,0,0,75.55,2,696,0.026321,LOW,APPROVED,0,0,600-700,<50K
CD000113,2025-05-12 15:01:06,667,91552,12.54,26,33388,credit_card,RENT,0,0,0,72.52,0,722,0.009676,LOW,APPROVED,0,0,700-800,75-100K
CD000114,2025-04-12 01:28:26,733,60106,42.53,3,50437,credit_card,RENT,2,5,19,81.25,1,627,0.140424,HIGH,APPROVED,0,0,600-700,50-75K
CD000115,2025-06-15 08:56:34,620,64395,31.51,2,27966,credit_card,RENT,1,5,9,37.05,3,564,0.439486,VERY_HIGH,APPROVED,1,90,<600,50-75K
CD000116,2025-02-21 00:01:47,631,64808,23.92,15,38818,credit_card,RENT,1,5,14,67.18,2,641,0.052434,MEDIUM,APPROVED,0,0,600-700,50-75K
CD000117,2025-01-13 11:57:19,609,51142,1.36,10,7985,credit_card,RENT,1,3,37,74.84,0,667,0.037382,MEDIUM,APPROVED,0,0,600-700,50-75K
CD000118,2025-04-13 20:17:24,744,53706,20.02,0,8585,other,RENT,0,0,0,0.0,2,710,0.011673,LOW,APPROVED,0,0,700-800,50-75K
CD000119,2025-05-27 16:51:37,655,78819,27.51,40,24633,debt_consolidation,RENT,2,4,55,70.33,1,622,0.109633,HIGH,APPROVED,0,0,600-700,75-100K
CD000120,2025-04-16 18:21:11,614,117421,43.4,2,15695,major_purchase,RENT,1,5,29,67.06,2,536,0.619629,VERY_HIGH,DECLINED,1,90,<600,100K+
CD000121,2025-04-22 00:01:08,648,64783,32.93,4,47242,other,MORTGAGE,0,0,0,20.31,3,655,0.070983,MEDIUM,APPROVED,0,0,600-700,50-75K
CD000122,2025-03-29 22:44:37,808,72378,29.64,22,25718,credit_card,OTHER,0,0,0,58.68,1,768,0.003234,LOW,APPROVED,0,30,700-800,50-75K
CD000123,2025-05-30 04:58:14,665,41269,33.41,17,64075,other,OWN,0,0,0,32.33,0,678,0.03821,MEDIUM,APPROVED,0,30,600-700,<50K
CD000124,2025-04-23 05:17:25,718,56471,44.62,4,8878,home_improvement,RENT,0,0,0,62.28,1,631,0.077518,MEDIUM,APPROVED,0,0,600-700,50-75K
CD000125,2025-01-14 11:08:12,696,95505,10.98,0,33838,debt_consolidation,RENT,0,0,0,65.35,0,712,0.014422,LOW,APPROVED,0,0,700-800,75-100K
CD000126,2025-02-14 11:43:10,670,97425,28.14,1,29745,credit_card,MORTGAGE,2,5,39,74.98,2,583,0.205744,HIGH,DECLINED,0,30,<600,75-100K
CD000127,2025-03-29 23:10:30,633,52916,34.38,21,41464,home_improvement,OTHER,2,7,48,61.79,0,562,0.354053,HIGH,DECLINED,0,60,<600,50-75K
CD000128,2025-02-14 22:58:46,652,58374,47.12,7,42431,debt_consolidation,RENT,0,0,0,37.84,1,533,0.481309,VERY_HIGH,DECLINED,0,0,<600,50-75K
CD000129,2025-02-04 02:19:42,651,49328,41.06,12,15155,home_improvement,MORTGAGE,1,5,33,3.11,1,567,0.421366,VERY_HIGH,DECLINED,0,0,<600,<50K
CD000130,2025-01-06 01:29:12,549,40885,17.92,3,38842,credit_card,RENT,1,2,25,36.8,1,558,0.373464,HIGH,DECLINED,1,90,<600,<50K
CD000131,2025-01-01 19:28:00,813,74553,35.93,13,32150,debt_consolidation,MORTGAGE,0,0,0,54.91,2,713,0.013695,LOW,APPROVED,0,0,700-800,50-75K
CD000132,2025-05-31 22:53:53,722,49409,32.23,24,10625,debt_consolidation,MORTGAGE,0,0,0,61.4,1,595,0.150867,HIGH,APPROVED,1,120,<600,<50K
CD000133,2025-06-10 17:59:04,677,115781,25.92,0,25933,home_improvement,RENT,0,0,0,52.79,1,724,0.009161,LOW,APPROVED,0,0,700-800,100K+
CD000134,2025-03-28 13:18:34,660,22605,9.3,0,17037,home_improvement,MORTGAGE,0,0,0,68.69,0,773,0.002925,LOW,APPROVED,0,0,700-800,<50K
CD000135,2025-03-12 21:31:29,627,26587,33.22,13,20296,debt_consolidation,MORTGAGE,0,0,0,67.35,0,631,0.092178,MEDIUM,APPROVED,0,0,600-700,<50K
CD000136,2025-06-13 01:23:08,723,33180,25.08,1,14965,credit_card,MORTGAGE,0,0,0,67.2,3,699,0.017309,LOW,APPROVED,0,0,600-700,<50K
CD000137,2025-04-28 22:35:34,660,59011,35.28,5,55878,credit_card,MORTGAGE,0,0,0,29.65,0,619,0.124837,HIGH,APPROVED,0,0,600-700,50-75K
CD000138,2025-01-17 15:56:26,697,53371,16.06,0,11070,home_improvement,MORTGAGE,0,0,0,44.09,2,686,0.022422,LOW,APPROVED,0,0,600-700,50-75K
CD000139,2025-02-13 11:08:31,594,40460,18.15,16,16974,debt_consolidation,RENT,1,6,51,49.2,2,512,0.671544,VERY_HIGH,DECLINED,0,0,<600,<50K
CD000140,2025-03-16 15:08:22,692,18000,35.19,0,8670,debt_consolidation,MORTGAGE,0,0,0,66.06,1,604,0.138183,HIGH,DECLINED,0,0,600-700,<50K
CD000141,2025-06-18 15:33:58,781,61936,10.44,2,34224,debt_consolidation,RENT,2,4,9,26.79,1,727,0.010429,LOW,APPROVED,0,0,700-800,50-75K
CD000142,2025-01-23 04:54:29,655,27785,28.32,12,17825,home_improvement,RENT,0,0,0,25.49,0,682,0.025154,LOW,APPROVED,0,0,600-700,<50K
CD000143,2025-04-21 18:18:25,715,106134,27.19,2,17345,credit_card,MORTGAGE,0,0,0,21.02,3,699,0.016481,LOW,APPROVED,1,60,600-700,100K+
CD000144,2025-02-07 11:51:17,673,60695,24.35,13,22121,major_purchase,MORTGAGE,0,0,0,100.0,3,642,0.075481,MEDIUM,DECLINED,1,90,600-700,50-75K
CD000145,2025-03-22 10:38:42,732,41148,34.07,8,11001,debt_consolidation,RENT,1,6,24,42.62,2,625,0.077755,MEDIUM,DECLINED,0,0,600-700,<50K
CD000146,2025-04-10 11:36:18,729,50761,44.63,6,31816,debt_consolidation,MORTGAGE,1,3,11,48.88,0,605,0.121684,HIGH,APPROVED,0,0,600-700,50-75K
CD000147,2025-05-05 19:16:07,674,116248,25.37,3,13623,home_improvement,OWN,1,4,26,100.0,1,660,0.031399,MEDIUM,APPROVED,1,120,600-700,100K+
CD000148,2025-05-30 17:19:47,640,48876,26.45,2,14311,home_improvement,RENT,0,0,0,49.85,0,591,0.311148,HIGH,DECLINED,1,120,<600,<50K
CD000149,2025-06-12 22:19:15,687,34345,27.08,6,21074,credit_card,RENT,1,6,31,53.96,1,547,0.454723,VERY_HIGH,DECLINED,0,0,<600,<50K
CD000150,2025-05-10 13:14:13,673,18169,29.16,1,18067,debt_consolidation,MORTGAGE,1,2,51,53.95,5,579,0.321996,HIGH,DECLINED,0,0,<600,<50K
CD000151,2025-04-26 08:25:35,637,52701,32.26,2,11622,credit_card,RENT,0,0,0,45.74,0,673,0.020174,LOW,APPROVED,0,0,600-700,50-75K
CD000152,2025-03-23 06:21:42,696,40407,35.98,8,33727,credit_card,MORTGAGE,0,0,0,41.97,3,587,0.221014,HIGH,APPROVED,0,0,<600,<50K
CD000153,2025-01-28 06:43:04,695,94492,31.33,4,40025,debt_consolidation,MORTGAGE,0,0,0,57.86,1,621,0.117002,HIGH,APPROVED,0,0,600-700,75-100K
CD000154,2025-03-10 10:55:54,622,60713,31.54,13,16404,other,RENT,0,0,0,24.22,1,555,0.382562,HIGH,APPROVED,1,60,<600,50-75K
CD000155,2025-02-15 08:14:18,665,91748,25.41,3,15099,major_purchase,MORTGAGE,0,0,0,31.22,0,681,0.034504,MEDIUM,APPROVED,0,0,600-700,75-100K
CD000156,2025-04-01 02:54:49,831,47002,46.46,5,15289,debt_consolidation,RENT,0,0,0,80.37,1,656,0.044685,MEDIUM,APPROVED,0,0,600-700,<50K
CD000157,2025-02-28 12:39:41,716,38983,22.3,2,31804,other,MORTGAGE,0,0,0,3.84,1,768,0.002677,LOW,APPROVED,0,30,700-800,<50K
