application_id,application_time,credit_score,annual_income,debt_to_income,employment_length,loan_amount,loan_purpose,home_ownership,number_of_delinquent_accounts,delinquent_months,months_since_last_delinquent,revolving_utilization,inquiries_last_6m,model_score,probability_of_default,risk_rating,application_status,actual_default,past_due_days,score_band,income_band,channel,notes
EC000012,2025-05-10 10:38:32,739,89745.0,43.88,1.0,20971,major_purchase,RENT,0,0,0,39.97,1,681.0,0.024531,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-983252-711552
EC000013,2025-04-04 04:11:10,704,58187.0,13.04,,13055,home_improvement,RENT,0,0,0,40.32,0,707.0,0.016283,MEDIUM,APPROVED,0,0,700-800,50-75K,ONLINE,case-830383-266633
EC000014,46:27.6,708,170374.0,31.47,8.0,24873,debt_consolidation,RENT,0,0,0,13.01,2,725.0,0.009972,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-091297-066577
EC000015,2025-05-16 01:59:10,741,89279.0,17.45,6.0,43078,home_improvement,MORTGAGE,0,0,0,56.39,1,739.0,0.004333,LOW,APPROVED,0,0,700-800,75-100K,ONLINE,case-714738-591357
EC000016,46:27.6,642,,20.35,2.0,10072,major_purchase,RENT,2,5,27,50.94,1,649.0,0.087549,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-778461-571323
EC000017,46:27.6,687,25802.0,21.21,11.0,18479,credit_card,RENT,2,7,22,4.02,2,677.0,0.030034,MEDIUM,DECLINED,1,90,600-700,<50K,ONLINE,case-997063-275353
EC000018,2025-01-21 14:06:24,711,90557.0,22.81,2.0,21224,debt_consolidation,OTHER,1,4,4,40.32,4,662.0,0.052278,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-815391-264129
EC000019,2025-04-19 18:50:16,665,80640.0,28.32,6.0,13645,home_improvement,RENT,0,0,0,86.67,3,577.0,0.301386,VERY_HIGH,DECLINED,0,0,<600,75-100K,ONLINE,case-936335-818719
EC000020,2025-01-09 03:16:06,730,78747.0,12.24,9.0,20859,home_improvement,RENT,1,4,13,73.83,1,713.0,0.017145,MEDIUM,APPROVED,0,0,700-800,75-100K,ONLINE,case-961380-476528
EC000021,2025-05-26 07:08:08,671,67646.0,34.52,,12961,credit_card,MORTGAGE,1,5,17,62.74,0,643.0,0.06097,HIGH,APPROVED,0,30,600-700,50-75K,ONLINE,case-144751-446986
EC000022,2025-01-05 15:38:32,727,55026.0,11.98,8.0,28168,other,MORTGAGE,1,7,37,76.9,0,696.0,0.014745,LOW,APPROVED,0,0,600-700,50-75K,ONLINE,case-926449-681804
EC000023,2025-06-28 22:40:50,698,78673.0,29.46,4.0,41942,debt_consolidation,RENT,1,3,5,32.53,2,648.0,0.064084,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-031803-879017
EC000024,2025-06-26 20:39:50,715,42142.0,13.01,17.0,10767,credit_card,RENT,1,3,11,87.94,3,657.0,0.065395,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-678453-294914
EC000025,46:27.6,607,36991.0,32.67,7.0,38206,major_purchase,MORTGAGE,0,0,0,65.83,1,557.0,0.40111,VERY_HIGH,DECLINED,0,0,<600,<50K,ONLINE,case-850093-618060
EC000026,2025-01-01 22:18:36,643,102876.0,24.14,1.0,20204,major_purchase,OWN,1,5,27,65.68,1,598.0,0.225856,VERY_HIGH,APPROVED,0,0,<600,100K+,ONLINE,case-398190-059608
EC000027,2025-02-01 11:02:58,764,48511.0,20.89,6.0,11243,credit_card,OWN,1,3,47,21.87,1,760.0,0.004854,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-856732-610643
EC000028,2025-06-15 09:34:55,700,50039.0,43.75,,9073,credit_card,OTHER,0,0,0,28.22,0,666.0,0.025736,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-669690-718408
EC000029,2025-01-27 13:19:29,686,74715.0,22.06,1.0,8671,other,OWN,2,4,54,64.12,3,636.0,0.107991,HIGH,DECLINED,1,90,600-700,50-75K,ONLINE,case-652095-888596
EC000030,46:27.6,743,139863.0,18.73,2.0,18300,home_improvement,RENT,1,6,3,65.76,0,734.0,0.008611,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-591319-072782
EC000031,46:27.6,731,148630.0,25.83,3.0,7052,debt_consolidation,MORTGAGE,1,4,55,72.01,2,639.0,0.064384,HIGH,DECLINED,0,30,600-700,100K+,ONLINE,case-147248-420868
EC000032,2025-02-05 18:03:07,687,93237.0,29.89,4.0,28368,debt_consolidation,MORTGAGE,0,0,0,76.61,2,633.0,0.082922,HIGH,DECLINED,0,0,600-700,75-100K,ONLINE,case-975597-511857
EC000033,2025-01-11 03:44:22,655,27878.0,28.42,16.0,13949,credit_card,RENT,4,2,18,38.26,1,541.0,0.475586,VERY_HIGH,DECLINED,0,0,<600,<50K,ONLINE,case-686973-728830
EC000034,2025-03-26 03:47:19,798,114662.0,33.24,7.0,21748,home_improvement,RENT,0,0,0,47.5,1,784.0,0.002156,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-857701-764053
EC000035,2025-03-21 21:48:41,728,135929.0,30.06,4.0,20181,debt_consolidation,RENT,0,0,0,82.91,3,662.0,0.034841,MEDIUM,APPROVED,0,0,600-700,100K+,ONLINE,case-337300-016125
EC000036,2025-04-20 06:39:48,604,66628.0,12.97,1.0,79678,debt_consolidation,RENT,1,5,31,61.48,0,623.0,0.123041,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-144085-034961
EC000037,46:27.6,736,88497.0,20.31,0.0,9813,other,OWN,0,0,0,79.95,2,712.0,0.016421,MEDIUM,APPROVED,0,0,700-800,75-100K,ONLINE,case-685394-221103
EC000038,2025-01-18 05:15:19,732,39757.0,23.18,8.0,29057,major_purchase,OWN,2,4,53,68.7,3,616.0,0.083125,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-214236-170018
EC000039,46:27.6,735,46502.0,32.31,6.0,41224,major_purchase,RENT,0,0,0,72.55,1,656.0,0.053951,HIGH,DECLINED,0,0,600-700,<50K,ONLINE,case-751693-735997
EC000040,46:27.6,668,,12.68,13.0,17312,debt_consolidation,MORTGAGE,0,0,0,64.24,0,654.0,0.050097,HIGH,APPROVED,0,60,600-700,50-75K,ONLINE,case-617974-180710
EC000041,46:27.6,771,62373.0,24.29,8.0,20468,debt_consolidation,RENT,0,0,0,71.0,1,738.0,0.005087,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-904057-633798
EC000042,46:27.6,649,61201.0,28.17,3.0,18512,debt_consolidation,RENT,0,0,0,57.28,1,642.0,0.075167,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-878327-764484
EC000043,2025-05-13 23:33:59,757,74851.0,10.8,2.0,21766,home_improvement,RENT,0,0,0,54.94,1,,0.001801,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-342942-162165
EC000044,2025-05-27 00:47:12,706,58791.0,23.71,4.0,31123,other,RENT,1,6,55,81.23,3,592.0,0.15383,HIGH,APPROVED,0,0,<600,50-75K,ONLINE,case-249036-687906
EC000045,2025-01-13 00:49:09,783,117533.0,24.87,12.0,17160,credit_card,OTHER,0,0,0,83.41,0,762.0,0.002681,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-029174-412732
EC000046,2025-05-13 04:04:31,669,30220.0,20.87,2.0,11090,debt_consolidation,MORTGAGE,1,2,49,67.01,0,639.0,0.072629,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-533329-544325
EC000047,46:27.6,728,115887.0,22.33,4.0,27467,major_purchase,RENT,0,0,0,31.11,0,736.0,0.005043,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-013435-157119
EC000048,46:27.6,736,102690.0,18.14,1.0,43466,debt_consolidation,OTHER,1,4,30,30.07,0,714.0,0.007557,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-495144-504243
EC000049,2025-05-07 23:48:45,672,63551.0,13.02,3.0,9207,other,MORTGAGE,0,0,0,52.12,1,711.0,0.022006,MEDIUM,APPROVED,0,0,700-800,50-75K,ONLINE,case-341081-984159
EC000050,2025-03-05 21:27:54,691,56112.0,22.98,,63854,home_improvement,RENT,0,0,0,49.94,3,690.0,0.02932,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-327804-397883
EC000051,2025-01-08 22:40:37,667,86611.0,25.0,5.0,25254,other,RENT,2,5,44,35.92,1,652.0,0.072509,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-869598-711679
EC000052,2025-06-29 18:57:11,716,50850.0,14.71,4.0,16743,major_purchase,RENT,1,5,8,2.49,4,714.0,0.011279,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-753816-459715
EC000053,46:27.6,728,83447.0,24.47,,10846,credit_card,OWN,0,0,0,90.97,1,640.0,0.042426,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-666413-821460
EC000054,2025-03-08 22:41:34,674,69800.0,15.67,2.0,9981,debt_consolidation,OWN,0,0,0,0.0,1,706.0,0.012498,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-439248-898978
EC000055,46:27.6,709,43001.0,34.82,2.0,28966,home_improvement,RENT,0,0,0,71.3,1,642.0,0.076329,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-572417-954208
EC000056,2025-02-05 04:34:11,658,124562.0,50.18,1.0,15329,debt_consolidation,MORTGAGE,2,3,39,67.21,5,535.0,0.518563,VERY_HIGH,DECLINED,0,0,<600,100K+,ONLINE,case-605978-539709
EC000057,2025-04-15 13:48:13,661,91462.0,19.99,19.0,15437,debt_consolidation,MORTGAGE,0,0,0,74.28,1,621.0,0.096502,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-305987-583226
EC000058,46:27.6,584,72297.0,39.18,1.0,16500,home_improvement,RENT,1,4,11,6.67,2,552.0,0.454821,VERY_HIGH,DECLINED,1,90,<600,50-75K,ONLINE,case-810475-097347
EC000059,2025-04-03 14:13:25,625,141464.0,14.96,10.0,17787,home_improvement,MORTGAGE,0,0,0,72.14,0,672.0,0.054799,HIGH,APPROVED,0,0,600-700,100K+,ONLINE,case-109921-403147
EC000060,2025-03-09 10:52:07,653,121318.0,21.17,17.0,11964,other,RENT,0,0,0,34.23,0,659.0,0.048434,HIGH,APPROVED,0,0,600-700,100K+,ONLINE,case-095207-403942
EC000061,46:27.6,696,58286.0,1.0,3.0,19049,debt_consolidation,OWN,1,3,26,12.5,1,737.0,0.006162,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-039198-855583
EC000062,2025-04-24 19:04:45,774,67957.0,18.13,,27877,credit_card,OWN,0,0,0,22.03,1,775.0,0.001817,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-914613-104978
EC000063,2025-03-18 14:56:40,705,69807.0,29.28,2.0,15828,credit_card,MORTGAGE,1,3,1,60.23,1,645.0,0.092061,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-293282-357460
EC000064,2025-03-28 19:42:20,695,,15.63,14.0,5684,other,MORTGAGE,2,2,43,40.66,1,680.0,0.028808,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-077102-916687
EC000065,46:27.6,709,94737.0,29.6,1.0,11199,credit_card,RENT,1,8,23,46.61,1,645.0,0.063317,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-624851-090834
EC000066,2025-02-22 04:06:32,613,75686.0,27.03,11.0,22836,credit_card,MORTGAGE,2,2,40,16.15,0,609.0,0.141212,HIGH,DECLINED,0,0,600-700,75-100K,ONLINE,case-641566-695118
EC000067,2025-01-13 08:39:14,693,68167.0,28.34,11.0,22998,home_improvement,RENT,0,0,0,45.01,3,626.0,0.088977,HIGH,DECLINED,0,0,600-700,50-75K,ONLINE,case-209069-942865
EC000068,2025-04-01 09:23:53,642,34604.0,25.45,9.0,9485,home_improvement,RENT,0,0,0,15.86,1,698.0,0.018146,MEDIUM,APPROVED,0,60,600-700,<50K,ONLINE,case-974900-869643
EC000069,46:27.6,658,55417.0,19.79,0.0,64881,credit_card,MORTGAGE,2,6,37,51.53,2,616.0,0.204481,VERY_HIGH,APPROVED,1,120,600-700,50-75K,ONLINE,case-231758-180037
EC000070,46:27.6,802,52875.0,29.35,7.0,6788,home_improvement,MORTGAGE,0,0,0,6.86,2,792.0,0.001494,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-422245-312562
EC000071,46:27.6,792,59144.0,30.49,1.0,33935,credit_card,RENT,2,6,21,69.6,1,708.0,0.015384,LOW,APPROVED,0,0,700-800,50-75K,ONLINE,case-567702-446933
EC000072,2025-04-21 04:13:01,744,45964.0,10.97,1.0,19633,major_purchase,MORTGAGE,0,0,0,42.06,1,770.0,0.002151,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-674233-553345
EC000073,46:27.6,720,53292.0,27.92,3.0,18361,major_purchase,RENT,0,0,0,39.99,1,692.0,0.021896,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-397211-406992
EC000074,46:27.6,718,38568.0,9.07,4.0,7466,home_improvement,OWN,0,0,0,39.21,1,686.0,0.016256,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-190960-710173
EC000075,2025-04-05 22:04:17,637,64073.0,35.42,1.0,12944,major_purchase,MORTGAGE,1,3,18,36.07,1,609.0,0.21038,VERY_HIGH,DECLINED,0,30,600-700,50-75K,ONLINE,case-429132-371691
EC000076,2025-05-25 20:41:07,621,36922.0,11.92,4.0,18190,debt_consolidation,OWN,1,1,34,47.6,3,567.0,0.319367,VERY_HIGH,DECLINED,0,0,<600,<50K,ONLINE,case-453067-908299
EC000077,46:27.6,708,130940.0,21.5,4.0,20867,home_improvement,OWN,0,0,0,42.33,0,741.0,0.006524,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-684975-400205
EC000078,2025-02-12 19:14:46,665,53393.0,27.36,19.0,23977,other,OTHER,1,5,17,76.63,1,650.0,0.060055,HIGH,APPROVED,0,30,600-700,50-75K,ONLINE,case-942642-899194
EC000079,2025-04-30 01:07:18,647,119569.0,19.92,,20830,credit_card,RENT,0,0,0,13.76,2,705.0,0.021103,MEDIUM,APPROVED,0,0,700-800,100K+,ONLINE,case-956707-086620
EC000080,2025-05-14 12:00:09,686,60241.0,31.45,6.0,9075,debt_consolidation,RENT,1,5,7,64.56,3,595.0,0.235879,VERY_HIGH,APPROVED,1,120,<600,50-75K,ONLINE,case-963400-218576
EC000081,2025-05-26 09:15:29,686,66189.0,20.47,,7233,major_purchase,MORTGAGE,0,0,0,14.05,4,701.0,0.018764,MEDIUM,APPROVED,0,0,700-800,50-75K,ONLINE,case-462482-428275
EC000082,2025-03-13 06:12:25,700,123347.0,16.48,1.0,49047,home_improvement,RENT,0,0,0,43.67,1,665.0,0.026647,MEDIUM,APPROVED,0,0,600-700,100K+,ONLINE,case-210727-798080
EC000083,2025-02-10 01:27:22,649,58595.0,26.74,0.0,12705,home_improvement,MORTGAGE,0,0,0,55.27,0,616.0,0.100983,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-537823-890726
EC000084,2025-01-13 09:41:51,691,144598.0,22.54,0.0,12203,debt_consolidation,RENT,0,0,0,38.37,0,729.0,0.005734,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-331642-013869
EC000085,2025-02-24 08:00:41,622,45643.0,23.16,2.0,17177,major_purchase,MORTGAGE,0,0,0,45.04,2,625.0,0.081836,HIGH,APPROVED,0,0,600-700,<50K,ONLINE,case-483552-642671
EC000086,2025-03-09 20:45:27,757,79000.0,33.58,11.0,24600,debt_consolidation,MORTGAGE,0,0,0,24.82,0,732.0,0.005517,LOW,APPROVED,0,0,700-800,75-100K,ONLINE,case-596359-687511
EC000087,2025-02-05 00:45:52,774,84415.0,11.09,9.0,61180,major_purchase,RENT,1,5,36,34.34,1,775.0,0.002818,LOW,APPROVED,0,30,700-800,75-100K,ONLINE,case-726680-793829
EC000088,2025-05-26 15:44:39,629,66920.0,26.39,,7194,credit_card,OTHER,0,0,0,39.22,1,629.0,0.091604,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-592075-835080
EC000089,46:27.6,714,49301.0,22.43,2.0,29019,other,RENT,0,0,0,52.41,1,665.0,0.03872,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-316121-734287
EC000090,2025-03-21 02:40:02,678,121549.0,37.93,14.0,9438,debt_consolidation,OWN,0,0,0,33.09,2,621.0,1.5,HIGH,DECLINED,0,0,600-700,100K+,ONLINE,case-995431-487422
EC000091,2025-03-06 01:22:14,696,53862.0,27.27,9.0,14611,major_purchase,MORTGAGE,0,0,0,55.25,2,667.0,0.028751,MEDIUM,DECLINED,0,0,600-700,50-75K,ONLINE,case-357262-220127
EC000092,2025-02-08 14:11:40,693,65746.0,16.96,0.0,17123,major_purchase,RENT,1,4,10,11.21,0,703.0,0.010208,LOW,DECLINED,0,0,700-800,50-75K,ONLINE,case-987717-740982
EC000093,2025-03-12 07:44:30,756,33358.0,25.21,,26738,debt_consolidation,OWN,0,0,0,41.56,1,763.0,0.003987,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-241657-817102
EC000094,2025-02-17 23:39:46,720,,27.86,5.0,20762,debt_consolidation,RENT,0,0,0,62.49,2,648.0,0.060525,HIGH,DECLINED,1,120,600-700,50-75K,ONLINE,case-234943-920973
EC000095,2025-06-02 17:26:13,642,29640.0,28.79,3.0,39142,major_purchase,MORTGAGE,2,2,49,42.0,0,596.0,0.227945,VERY_HIGH,APPROVED,0,0,<600,<50K,ONLINE,case-806330-702643
EC000096,46:27.6,694,108574.0,20.26,,10272,other,MORTGAGE,2,5,18,52.46,0,,0.020323,MEDIUM,APPROVED,0,0,600-700,100K+,ONLINE,case-313727-518993
EC000097,2025-03-24 23:11:39,689,82249.0,22.4,20.0,28704,other,RENT,1,8,23,53.57,1,674.0,0.023908,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-019389-583828
EC000098,2025-03-18 16:40:30,646,120677.0,14.91,,14678,debt_consolidation,OWN,1,6,44,49.85,1,673.0,0.03036,MEDIUM,APPROVED,0,0,600-700,100K+,ONLINE,case-389479-523882
EC000099,2025-06-19 03:29:55,701,61796.0,27.37,,4803,home_improvement,OWN,1,6,27,19.9,1,,0.014743,LOW,APPROVED,0,0,600-700,50-75K,ONLINE,case-977145-488052
EC000100,2025-03-22 21:52:27,689,103376.0,18.93,7.0,21328,debt_consolidation,MORTGAGE,0,0,0,36.85,0,,0.012263,LOW,APPROVED,0,30,700-800,100K+,ONLINE,case-035053-349323
EC000101,2025-05-26 17:17:36,765,123243.0,14.52,,22345,debt_consolidation,RENT,2,5,7,52.66,1,714.0,0.010911,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-362966-114765
EC000102,2025-02-25 20:07:54,680,40942.0,24.88,12.0,27248,major_purchase,OWN,0,0,0,59.68,2,676.0,0.030728,MEDIUM,APPROVED,1,90,600-700,<50K,ONLINE,case-522653-060505
EC000103,2025-04-19 04:07:05,714,49380.0,28.47,,46359,home_improvement,MORTGAGE,0,0,0,35.95,0,722.0,0.009132,LOW,APPROVED,0,0,700-800,<50K,ONLINE,case-625048-053304
EC000104,46:27.6,566,43855.0,22.04,2.0,73321,home_improvement,OWN,1,7,36,60.75,0,559.0,0.428046,VERY_HIGH,DECLINED,0,0,<600,<50K,ONLINE,case-265608-974183
EC000105,46:27.6,598,,30.37,3.0,17359,debt_consolidation,MORTGAGE,2,6,55,11.4,1,563.0,0.352775,VERY_HIGH,DECLINED,0,30,<600,75-100K,ONLINE,case-757873-703142
EC000106,2025-05-15 18:13:20,708,102978.0,17.46,13.0,30679,home_improvement,RENT,2,5,21,92.17,1,636.0,0.077997,HIGH,APPROVED,0,0,600-700,100K+,ONLINE,case-674577-218055
EC000107,2025-04-23 09:42:18,697,,20.18,11.0,25779,debt_consolidation,MORTGAGE,0,0,0,49.69,3,,0.016009,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-893362-312037
EC000108,2025-03-12 20:19:33,740,39451.0,32.53,,36521,home_improvement,MORTGAGE,2,3,53,29.0,0,679.0,0.024994,MEDIUM,APPROVED,0,0,600-700,<50K,ONLINE,case-964581-336822
EC000109,2025-05-27 23:11:59,627,61194.0,17.74,6.0,10692,home_improvement,MORTGAGE,0,0,0,57.17,2,622.0,0.116355,HIGH,DECLINED,0,0,600-700,50-75K,ONLINE,case-427389-380122
EC000110,46:27.6,674,57042.0,33.64,,31679,major_purchase,MORTGAGE,0,0,0,4.62,1,654.0,0.063439,HIGH,DECLINED,0,0,600-700,50-75K,ONLINE,case-118959-430581
EC000111,2025-05-13 06:58:22,553,37661.0,38.73,10.0,22221,other,MORTGAGE,0,0,0,17.06,1,517.0,0.633843,VERY_HIGH,DECLINED,0,0,<600,<50K,ONLINE,case-178106-751485
EC000112,2025-05-28 04:00:53,644,106260.0,29.79,1.0,9090,credit_card,RENT,0,0,0,60.66,0,603.0,0.121473,HIGH,DECLINED,0,30,600-700,100K+,ONLINE,case-714088-128558
EC000113,46:27.6,666,161596.0,26.58,2.0,15009,other,RENT,1,6,7,53.17,2,612.0,0.088444,HIGH,APPROVED,0,0,600-700,100K+,ONLINE,case-450125-479632
EC000114,2025-04-14 15:52:31,685,,20.71,11.0,8482,debt_consolidation,MORTGAGE,1,1,17,59.6,1,657.0,0.043788,HIGH,APPROVED,0,30,600-700,100K+,ONLINE,case-543221-427123
EC000115,2025-06-29 05:29:16,659,48221.0,33.96,,8313,debt_consolidation,MORTGAGE,1,2,16,46.97,0,558.0,0.348627,VERY_HIGH,DECLINED,1,120,<600,<50K,ONLINE,case-995308-560211
EC000116,2025-02-24 23:43:46,742,,29.72,3.0,15802,home_improvement,MORTGAGE,0,0,0,50.31,2,698.0,0.019119,MEDIUM,APPROVED,0,0,600-700,100K+,ONLINE,case-769030-137623
EC000117,2025-03-29 12:06:23,610,27184.0,16.32,,20180,debt_consolidation,RENT,1,2,27,75.34,1,598.0,0.262327,VERY_HIGH,APPROVED,0,0,<600,<50K,ONLINE,case-274567-467141
EC000118,2025-02-16 11:52:59,619,36480.0,18.1,7.0,34441,credit_card,OWN,0,0,0,2.75,0,592.0,0.177473,HIGH,APPROVED,0,0,<600,<50K,ONLINE,case-979536-994801
EC000119,46:27.6,715,,31.51,1.0,23217,credit_card,MORTGAGE,1,5,3,58.11,1,675.0,0.041563,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-317324-720139
EC000120,46:27.6,669,44148.0,23.87,,26635,credit_card,RENT,2,3,57,53.26,0,631.0,0.117747,HIGH,DECLINED,1,90,600-700,<50K,ONLINE,case-759261-117287
EC000121,46:27.6,764,54960.0,42.65,0.0,23678,credit_card,MORTGAGE,1,4,23,42.56,2,683.0,0.018993,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-367027-826661
EC000122,46:27.6,728,137298.0,25.78,6.0,27781,other,RENT,0,0,0,35.73,0,,0.00755,LOW,APPROVED,0,0,700-800,100K+,ONLINE,case-726748-400347
EC000123,2025-05-28 23:47:44,708,57867.0,19.73,24.0,20533,major_purchase,OTHER,0,0,0,62.33,3,678.0,0.032825,MEDIUM,APPROVED,0,0,600-700,50-75K,ONLINE,case-472462-470756
EC000124,2025-06-05 06:56:25,596,83632.0,38.11,0.0,17529,major_purchase,OWN,1,1,58,83.86,2,542.0,0.443842,VERY_HIGH,DECLINED,1,90,<600,75-100K,ONLINE,case-477410-260886
EC000125,2025-01-16 20:46:24,656,58502.0,30.5,0.0,9880,debt_consolidation,MORTGAGE,0,0,0,56.76,0,620.0,0.089688,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-371354-630060
EC000126,2025-01-23 03:29:45,705,84311.0,24.1,1.0,17050,major_purchase,RENT,0,0,0,48.9,3,,0.020774,MEDIUM,APPROVED,0,0,600-700,75-100K,ONLINE,case-522387-460512
EC000127,46:27.6,655,95263.0,25.46,8.0,6949,other,MORTGAGE,1,4,37,72.37,1,562.0,0.338477,VERY_HIGH,DECLINED,0,0,<600,75-100K,ONLINE,case-976271-758535
EC000128,2025-02-11 17:41:34,706,57130.0,22.01,10.0,7971,home_improvement,OWN,0,0,0,49.44,3,648.0,0.049597,HIGH,APPROVED,0,0,600-700,50-75K,ONLINE,case-179624-190806
EC000129,2025-05-09 17:34:37,706,43388.0,22.98,3.0,29883,other,RENT,2,5,57,100.0,4,589.0,0.256873,VERY_HIGH,APPROVED,0,30,<600,<50K,ONLINE,case-871452-423120
EC000130,2025-04-23 19:46:11,644,,22.56,5.0,33345,major_purchase,OWN,0,0,0,45.57,0,642.0,0.070591,HIGH,APPROVED,0,0,600-700,75-100K,ONLINE,case-013229-972368
EC000131,2025-06-14 20:01:19,629,37097.0,35.41,3.0,9658,other,RENT,2,4,22,79.65,0,583.0,0.270075,VERY_HIGH,DECLINED,1,90,<600,<50K,ONLINE,case-190153-782159
